# Node ID	X Coordinate	Y Coordinate	Z Coordinate
      100    -4.691877622E-02     7.143061559E-02    -4.020623313E-02
      101    -5.441098790E-02     6.942930919E-02    -4.188860184E-02
      102    -6.172174486E-02     6.712002335E-02    -4.377038214E-02
      103    -6.899729187E-02     6.443616846E-02    -4.587776526E-02
      104    -7.595314231E-02     6.146189680E-02    -4.811221585E-02
      105    -8.278500877E-02     5.809359978E-02    -5.051559206E-02
      106    -8.939246504E-02     5.433672283E-02    -5.303678620E-02
      107    -9.554632324E-02     5.029668916E-02    -5.555928677E-02
      108    -1.016824016E-01     4.561238274E-02    -5.824070735E-02
      109    -1.072458697E-01     4.060589204E-02    -6.081666090E-02
      110    -1.122688087E-01     3.520461144E-02    -6.326067767E-02
      111    -1.167995256E-01     2.923493775E-02    -6.555894673E-02
      112    -1.206651660E-01     2.265385905E-02    -6.759456842E-02
      113    -1.236751021E-01     1.549029680E-02    -6.922378572E-02
      114    -1.255933672E-01     7.898063511E-03    -7.028331680E-02
      115    -8.162687671E-02     1.086189762E-06    -6.026163518E-02
      116     8.051934672E-02     4.491829401E-04    -6.009158309E-02
      117     5.766190712E-02    -3.811706788E-02    -5.187560653E-02
      118    -5.803996850E-02    -3.753023649E-02    -5.211713476E-02
      119     5.826590178E-02     3.660487480E-02    -5.233842889E-02
      120    -5.827959222E-02     3.658240462E-02    -5.223625246E-02
      121    -3.769618122E-02    -5.008770515E-02    -4.647987632E-02
      122     3.649802155E-02    -4.865623988E-02    -4.672884118E-02
      123    -3.658844990E-02     4.797948986E-02    -4.688585541E-02
      124     3.680747063E-02     5.000757072E-02    -4.639602039E-02
      125    -9.165652617E-02    -2.280262545E-02    -6.072252763E-02
      126     9.172682766E-02     2.206425310E-02    -6.085123759E-02
      127     9.151088758E-02    -2.206173256E-02    -6.075866615E-02
      128    -9.150016873E-02     2.207498075E-02    -6.072001622E-02
      129     5.888369969E-02    -3.859759445E-03    -5.646491788E-02
      130    -5.972169122E-02    -5.886514798E-03    -5.650907315E-02
      131    -1.033057541E-01     5.107215238E-05    -6.484062071E-02
      132     1.039469091E-01     2.684565559E-06    -6.501818015E-02
      133     6.968678820E-02     1.748055159E-02    -5.726009640E-02
      134    -6.969610972E-02     1.746964817E-02    -5.716753474E-02
      135    -1.281670722E-02    -5.506409978E-02    -4.341496113E-02
      136     1.281778662E-02     5.504575578E-02    -4.339278530E-02
      137    -1.380030171E-02     5.607181270E-02    -4.307935480E-02
      138     1.380426629E-02    -5.609999547E-02    -4.310608223E-02
      139     7.468283036E-02    -1.430005485E-02    -5.837814056E-02
      140    -7.527418894E-02    -1.333355342E-02    -5.857784272E-02
      141     7.733086271E-02     2.997794538E-02    -5.677228305E-02
      142     7.392107173E-02    -3.045144069E-02    -5.602658990E-02
      143    -7.733040996E-02     2.997049670E-02    -5.666676799E-02
      144    -7.402688792E-02    -2.945708337E-02    -5.627960079E-02
      145     5.184889682E-02     1.670091834E-02    -5.472808182E-02
      146    -5.123350382E-02     1.434950944E-02    -5.479595246E-02
      147     5.857846294E-02    -2.023330681E-02    -5.518471773E-02
      148    -5.858722439E-02    -2.022787527E-02    -5.521897983E-02
      149     4.382829463E-02    -2.792872581E-02    -5.220600548E-02
      150    -4.299892690E-02    -2.752444955E-02    -5.222132752E-02
      151     4.463888876E-02     2.762471219E-02    -5.237332719E-02
      152    -4.442576748E-02     2.803469200E-02    -5.218561913E-02
